artistName,collectionName,releaseDate,trackCount,primaryGenreName,artworkUrl100
Kendrick Lamar,"good kid, m.A.A.d city (Deluxe Version)",2012-10-22T07:00:00Z,14,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/36/86/ec/3686ec99-dec4-0a01-8b74-2d8a9a0263a7/12UMGIM52988.rgb.jpg/100x100bb.jpg
Kendrick Lamar,To Pimp a Butterfly,2015-03-15T07:00:00Z,17,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/b5/a6/91/b5a69171-5232-3d5b-9c15-8963802f83dd/15UMGIM15814.rgb.jpg/100x100bb.jpg
Nas,Illmatic,1994-04-19T07:00:00Z,10,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/b9/eb/cc/b9ebccbc-5ba4-2cdb-5332-b065739abd9a/886444567619.jpg/100x100bb.jpg
The Notorious B.I.G.,Ready To Die the Remaster,1994-09-13T07:00:00Z,19,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f8/6a/3d/f86a3db0-d518-cd49-c0c9-25e767ae0a6d/075679456861.jpg/100x100bb.jpg
2Pac,All Eyez On Me,1996-02-13T08:00:00Z,27,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/55/e5/7c/55e57cf2-8325-a088-7d54-3aeedad1143f/21UM1IM16263.rgb.jpg/100x100bb.jpg
Wu-Tang Clan,Enter the Wu-Tang (36 Chambers),1993-11-09T08:00:00Z,9,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/8c/20/1f/8c201f03-7617-2d8b-3d8d-e0ba2d55041b/196872123784.jpg/100x100bb.jpg
Outkast,Aquemini,1998-09-29T07:00:00Z,15,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/0e/48/dd/0e48dd9a-07c9-46de-a838-b4ddb4e508a7/886448814191.jpg/100x100bb.jpg
Lauryn Hill,The Miseducation of Lauryn Hill,1998-08-19T07:00:00Z,16,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/09/6b/55/096b55c4-ee8f-23bd-df8f-0ca0821f3028/886446727189.jpg/100x100bb.jpg
Kanye West,The College Dropout,2004-02-10T08:00:00Z,21,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/15/05/09/15050911-a2f1-9ebc-0d16-6e8faad1cf80/00602567924326.rgb.jpg/100x100bb.jpg
JAŸ-Z,The Blueprint,2001-09-11T07:00:00Z,15,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/19/c0/e3/19c0e3b6-4c2f-17ee-2a4a-6e2208de8aa6/00857366006951.rgb.jpg/100x100bb.jpg
Eminem,The Marshall Mathers LP,2000-05-23T07:00:00Z,18,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/ea/ac/03/eaac03e5-8e9d-847e-d5b9-af7dee6a970b/00606949063221.rgb.jpg/100x100bb.jpg
Dr. Dre,2001,1999-11-16T00:00:00Z,23,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/27/6b/4c/276b4c69-99cb-6209-2fd8-3edd17ccfd06/00602517641228.rgb.jpg/100x100bb.jpg
N.W.A,Straight Outta Compton,1988-08-09T00:00:00Z,13,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/4c/b1/32/4cb13290-7d01-1949-57e9-a8a1874e60a2/19UMGIM79184.rgb.jpg/100x100bb.jpg
Travis Scott,ASTROWORLD,2018-08-03T07:00:00Z,17,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e7/49/8f/e7498f65-df8f-bead-d6e3-2a8d4d642a79/886447235317.jpg/100x100bb.jpg
50 Cent,Get Rich or Die Tryin' (Bonus Track Version),2003-02-06T08:00:00Z,18,Hip-Hop/Rap,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/6e/56/af/6e56af83-bdff-56c2-7c6a-b30cd0d356ce/06UMGIM08757.rgb.jpg/100x100bb.jpg
